mean_fit_time,std_fit_time,param_metric,param_n_neighbors,param_weights,train_TP,train_TN,train_FP,train_FN,test_TP,test_TN,test_FP,test_FN,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,rank_train_score,mean_test_accuracy,mean_train_accuracy
0.0032609939575195313,0.0013285579928404053,euclidean,1,uniform,18,3204,0,0,0,792,9,5,0.9891872050998932,0.002300804533420869,49,1.0,0.0,1,0.9891872050998932,1.0
0.0035164356231689453,0.0013864703502851896,euclidean,1,distance,18,3204,0,0,0,792,9,5,0.9891872050998932,0.002300804533420869,49,1.0,0.0,1,0.9891872050998932,1.0
0.0026052713394165037,0.0007717351688923145,euclidean,2,uniform,1,3204,0,17,0,801,0,5,0.9916288865219242,0.0018576051063383544,1,0.9923595637349132,0.0005394360652640298,35,0.9916288865219242,0.9923595637349132
0.002583932876586914,0.0005064152254936461,euclidean,2,distance,18,3204,0,0,0,792,9,5,0.9891872050998932,0.002300804533420869,49,1.0,0.0,1,0.9891872050998932,1.0
0.002305912971496582,0.0005577612776030231,euclidean,3,uniform,2,3203,1,16,0,801,0,5,0.9916288865219242,0.0018576051063383544,1,0.9927077372727462,0.0007378769098705285,33,0.9916288865219242,0.9927077372727462
0.0019525766372680664,0.00041655598764984205,euclidean,3,distance,18,3204,0,0,0,800,1,5,0.9914733655265898,0.0015851852198126733,39,1.0,0.0,1,0.9914733655265898,1.0
0.0019529104232788087,0.0004725102259555141,euclidean,4,uniform,0,3204,0,18,0,801,0,5,0.9916288865219242,0.0018576051063383544,1,0.9916279478386612,0.00020622048763852178,37,0.9916288865219242,0.9916279478386612
0.0023526430130004885,0.0005472088579156767,euclidean,4,distance,18,3204,0,0,0,801,0,5,0.9916288865219242,0.0018576051063383544,1,1.0,0.0,1,0.9916288865219242,1.0
0.002103114128112793,0.0003756520809573317,euclidean,5,uniform,0,3204,0,18,0,801,0,5,0.9916288865219242,0.0018576051063383544,1,0.9916279478386612,0.00020622048763852178,37,0.9916288865219242,0.9916279478386612
0.0033020734786987304,0.0011681536587690748,euclidean,5,distance,18,3204,0,0,0,801,0,5,0.9916288865219242,0.0018576051063383544,1,1.0,0.0,1,0.9916288865219242,1.0
0.0024376392364501955,0.0004155829080978815,euclidean,6,uniform,0,3204,0,18,0,801,0,5,0.9916288865219242,0.0018576051063383544,1,0.9916279478386612,0.00020622048763852178,37,0.9916288865219242,0.9916279478386612
0.0030561208724975584,0.002507422234903272,euclidean,6,distance,18,3204,0,0,0,801,0,5,0.9916288865219242,0.0018576051063383544,1,1.0,0.0,1,0.9916288865219242,1.0
0.002304363250732422,0.0006048346082883544,euclidean,7,uniform,0,3204,0,18,0,801,0,5,0.9916288865219242,0.0018576051063383544,1,0.9916279478386612,0.00020622048763852178,37,0.9916288865219242,0.9916279478386612
0.002455902099609375,0.000414569336154698,euclidean,7,distance,18,3204,0,0,0,801,0,5,0.9916288865219242,0.0018576051063383544,1,1.0,0.0,1,0.9916288865219242,1.0
0.0022661447525024413,0.00039598882087039147,euclidean,8,uniform,0,3204,0,18,0,801,0,5,0.9916288865219242,0.0018576051063383544,1,0.9916279478386612,0.00020622048763852178,37,0.9916288865219242,0.9916279478386612
0.002303481101989746,0.0005112163506379279,euclidean,8,distance,18,3204,0,0,0,801,0,5,0.9916288865219242,0.0018576051063383544,1,1.0,0.0,1,0.9916288865219242,1.0
0.0022638797760009765,0.00041114121166519553,euclidean,9,uniform,0,3204,0,18,0,801,0,5,0.9916288865219242,0.0018576051063383544,1,0.9916279478386612,0.00020622048763852178,37,0.9916288865219242,0.9916279478386612
0.002316141128540039,0.0005091527556280466,euclidean,9,distance,18,3204,0,0,0,801,0,5,0.9916288865219242,0.0018576051063383544,1,1.0,0.0,1,0.9916288865219242,1.0
0.002408003807067871,0.0004383339867608763,manhattan,1,uniform,18,3204,0,0,0,796,5,5,0.989660948832628,0.0031912735214587678,46,1.0,0.0,1,0.989660948832628,1.0
0.0022032737731933595,0.00045781585773391496,manhattan,1,distance,18,3204,0,0,0,796,5,5,0.989660948832628,0.0031912735214587678,46,1.0,0.0,1,0.989660948832628,1.0
