mean_fit_time,std_fit_time,param_metric,param_n_neighbors,param_weights,train_TP,train_TN,train_FP,train_FN,test_TP,test_TN,test_FP,test_FN,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,rank_train_score,mean_test_accuracy,mean_train_accuracy
0.01110079288482666,0.0019766294905561284,euclidean,1,uniform,18,4223,0,0,0,1053,5,3,0.9928335219043862,0.001921094318165482,46,1.0,0.0,1,0.9928335219043862,1.0
0.011121749877929688,0.0035596436182146252,euclidean,1,distance,18,4223,0,0,0,1053,5,3,0.9928335219043862,0.001921094318165482,46,1.0,0.0,1,0.9928335219043862,1.0
0.011242485046386719,0.0018388792373145906,euclidean,2,uniform,2,4223,0,16,0,1058,0,3,0.9936384766192468,0.0014125984535158637,3,0.9945933061768033,0.00046309382595079846,31,0.9936384766192468,0.9945933061768033
0.0108245849609375,0.001268747250721369,euclidean,2,distance,18,4223,0,0,0,1053,5,3,0.9928335219043862,0.001921094318165482,46,1.0,0.0,1,0.9928335219043862,1.0
0.00947103500366211,0.0013916878337911823,euclidean,3,uniform,2,4223,0,16,0,1058,0,3,0.9936384766192468,0.0014125984535158637,3,0.9945933061768033,0.00046309382595079846,31,0.9936384766192468,0.9945933061768033
0.011584973335266114,0.0025651949828227895,euclidean,3,distance,18,4223,0,0,0,1058,0,3,0.9935204131951277,0.0015126635285046092,41,1.0,0.0,1,0.9935204131951277,1.0
0.010190415382385253,0.0017141688839149433,euclidean,4,uniform,0,4223,0,18,0,1058,0,3,0.9936384766192468,0.0014125984535158637,3,0.9936380948241492,0.00015688275924342153,41,0.9936384766192468,0.9936380948241492
0.010444164276123047,0.001102475857700207,euclidean,4,distance,18,4223,0,0,0,1058,0,3,0.9940704485492269,0.0017500965372792348,1,1.0,0.0,1,0.9940704485492269,1.0
0.010168218612670898,0.001045268535008311,euclidean,5,uniform,0,4223,0,18,0,1058,0,3,0.9936384766192468,0.0014125984535158637,3,0.9938197330965522,0.00044828262127310267,37,0.9936384766192468,0.9938197330965522
0.010476446151733399,0.0011969133390444442,euclidean,5,distance,18,4223,0,0,0,1058,0,3,0.9936384766192468,0.0014125984535158637,3,1.0,0.0,1,0.9936384766192468,1.0
0.010120892524719238,0.000890377357881756,euclidean,6,uniform,0,4223,0,18,0,1058,0,3,0.9936384766192468,0.0014125984535158637,3,0.9936380948241492,0.00015688275924342153,41,0.9936384766192468,0.9936380948241492
0.010404348373413086,0.001114773951974529,euclidean,6,distance,18,4223,0,0,0,1058,0,3,0.9936384766192468,0.0014125984535158637,3,1.0,0.0,1,0.9936384766192468,1.0
0.010779118537902832,0.001990138043818089,euclidean,7,uniform,0,4223,0,18,0,1058,0,3,0.9936384766192468,0.0014125984535158637,3,0.9936380948241492,0.00015688275924342153,41,0.9936384766192468,0.9936380948241492
0.010588121414184571,0.0010957283784568963,euclidean,7,distance,18,4223,0,0,0,1058,0,3,0.9936384766192468,0.0014125984535158637,3,1.0,0.0,1,0.9936384766192468,1.0
0.010832500457763673,0.002004934744632385,euclidean,8,uniform,0,4223,0,18,0,1058,0,3,0.9936384766192468,0.0014125984535158637,3,0.9936380948241492,0.00015688275924342153,41,0.9936384766192468,0.9936380948241492
0.010872173309326171,0.0017401857094945811,euclidean,8,distance,18,4223,0,0,0,1058,0,3,0.9936384766192468,0.0014125984535158637,3,1.0,0.0,1,0.9936384766192468,1.0
0.01052098274230957,0.0013926396922654665,euclidean,9,uniform,0,4223,0,18,0,1058,0,3,0.9936384766192468,0.0014125984535158637,3,0.9936380948241492,0.00015688275924342153,41,0.9936384766192468,0.9936380948241492
0.01013200283050537,0.0017221040646689207,euclidean,9,distance,18,4223,0,0,0,1058,0,3,0.9936384766192468,0.0014125984535158637,3,1.0,0.0,1,0.9936384766192468,1.0
0.01009674072265625,0.0013352953101366733,manhattan,1,uniform,18,4223,0,0,0,1054,4,3,0.992525382689075,0.0023324403850522053,52,1.0,0.0,1,0.992525382689075,1.0
0.009003543853759765,0.0014661021527021744,manhattan,1,distance,18,4223,0,0,0,1054,4,3,0.992525382689075,0.0023324403850522053,52,1.0,0.0,1,0.992525382689075,1.0
0.008366894721984864,0.0007853404206115301,manhattan,2,uniform,2,4223,0,16,0,1058,0,3,0.9936384766192468,0.0014125984535158637,3,0.9945933061768033,0.00046309382595079846,31,0.9936384766192468,0.9945933061768033
0.009162116050720214,0.0009003391622706292,manhattan,2,distance,18,4223,0,0,0,1054,4,3,0.992525382689075,0.0023324403850522053,52,1.0,0.0,1,0.992525382689075,1.0
0.010472393035888672,0.0007600578651733322,manhattan,3,uniform,2,4223,0,16,0,1058,0,3,0.9934026278929515,0.0015962942145344317,43,0.9945752978306451,0.0004539219077750087,36,0.9934026278929515,0.9945752978306451
0.009864568710327148,0.0005637383682780676,manhattan,3,distance,18,4223,0,0,0,1058,0,3,0.993048437290286,0.0018573636905999146,45,1.0,0.0,1,0.993048437290286,1.0
0.01046924591064453,0.0010146538427437855,manhattan,4,uniform,0,4223,0,18,0,1058,0,3,0.9936384766192468,0.0014125984535158637,3,0.9937004721745659,0.0002631290102812835,40,0.9936384766192468,0.9937004721745659
0.010668420791625976,0.0025742490590194484,manhattan,4,distance,18,4223,0,0,0,1058,0,3,0.9932845641385242,0.001749108682001672,44,1.0,0.0,1,0.9932845641385242,1.0
0.010360407829284667,0.0013738320283769457,manhattan,5,uniform,0,4223,0,18,0,1058,0,3,0.9936384766192468,0.0014125984535158637,3,0.9937628331969706,0.00032598480606169995,39,0.9936384766192468,0.9937628331969706
