mean_fit_time,std_fit_time,param_metric,param_n_neighbors,param_weights,train_TP,train_TN,train_FP,train_FN,test_TP,test_TN,test_FP,test_FN,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,rank_train_score,mean_test_accuracy,mean_train_accuracy
0.010333943367004394,0.0018406212267230455,euclidean,1,uniform,24,3199,0,0,0,789,8,9,0.9871298103821768,0.0040608271402708986,46,1.0,0.0,1,0.9871298103821768,1.0
0.010371923446655273,0.0017934962077883444,euclidean,1,distance,24,3199,0,0,0,789,8,9,0.9871298103821768,0.0040608271402708986,46,1.0,0.0,1,0.9871298103821768,1.0
0.011178684234619141,0.003075804300302271,euclidean,2,uniform,2,3199,0,22,0,797,0,9,0.9888473409529708,0.0022603754126569436,1,0.9901273623514101,0.0007781327024385502,33,0.9888473409529708,0.9901273623514101
0.008472156524658204,0.0011065050888218095,euclidean,2,distance,24,3199,0,0,0,789,8,9,0.9871298103821768,0.0040608271402708986,46,1.0,0.0,1,0.9871298103821768,1.0
0.008726739883422851,0.003043856590725878,euclidean,3,uniform,2,3199,0,22,0,797,0,9,0.9886923044467183,0.0024860952471347695,36,0.9903553749367419,0.0007667035085411713,31,0.9886923044467183,0.9903553749367419
0.011070036888122558,0.004726375211699636,euclidean,3,distance,24,3199,0,0,0,797,0,9,0.9886923044467183,0.0024860952471347695,36,1.0,0.0,1,0.9886923044467183,1.0
0.008327174186706542,0.0011704028419953594,euclidean,4,uniform,0,3199,0,24,0,797,0,9,0.9888473409529708,0.0022603754126569436,1,0.9888442355290387,0.0002513085659933553,37,0.9888473409529708,0.9888442355290387
0.011330103874206543,0.005395410509115472,euclidean,4,distance,24,3199,0,0,0,796,1,9,0.9883817477009649,0.002598299092430389,40,1.0,0.0,1,0.9883817477009649,1.0
0.007568454742431641,0.0008563429775550277,euclidean,5,uniform,0,3199,0,24,0,797,0,9,0.9888473409529708,0.0022603754126569436,1,0.9888442355290387,0.0002513085659933553,37,0.9888473409529708,0.9888442355290387
0.009746384620666505,0.002444961964968538,euclidean,5,distance,24,3199,0,0,0,797,0,9,0.9888473409529708,0.0022603754126569436,1,1.0,0.0,1,0.9888473409529708,1.0
0.008576488494873047,0.0012330725460821801,euclidean,6,uniform,0,3199,0,24,0,797,0,9,0.9888473409529708,0.0022603754126569436,1,0.9888442355290387,0.0002513085659933553,37,0.9888473409529708,0.9888442355290387
0.009405159950256347,0.0035960075657109672,euclidean,6,distance,24,3199,0,0,0,797,0,9,0.9888473409529708,0.0022603754126569436,1,1.0,0.0,1,0.9888473409529708,1.0
0.008111071586608887,0.0009287260579762119,euclidean,7,uniform,0,3199,0,24,0,797,0,9,0.9888473409529708,0.0022603754126569436,1,0.9888442355290387,0.0002513085659933553,37,0.9888473409529708,0.9888442355290387
