mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_final_estimator,param_final_estimator__bootstrap,param_final_estimator__max_depth,param_final_estimator__min_samples_leaf,param_final_estimator__min_samples_split,param_final_estimator__n_estimators,param_passthrough,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
98.03726258277894,3.3235783243519266,0.9768037319183349,0.030331111547389246,RandomForestClassifier(),True,,1,2,100,True,"{'final_estimator': RandomForestClassifier(), 'final_estimator__bootstrap': True, 'final_estimator__max_depth': None, 'final_estimator__min_samples_leaf': 1, 'final_estimator__min_samples_split': 2, 'final_estimator__n_estimators': 100, 'passthrough': True}",0.811078140454995,0.8120672601384767,0.8031651829871415,0.7960396039603961,0.8148514851485148,0.8074403345379049,0.006896677522687664,31,0.8513618677042801,0.8545176110260337,0.8453768453768454,0.8400621118012422,0.8575780654988576,0.8497793002814518,0.006317946002036535,42
99.51031284332275,1.4097369127913222,0.9773499965667725,0.031816558606327434,RandomForestClassifier(),True,,1,2,100,False,"{'final_estimator': RandomForestClassifier(), 'final_estimator__bootstrap': True, 'final_estimator__max_depth': None, 'final_estimator__min_samples_leaf': 1, 'final_estimator__min_samples_split': 2, 'final_estimator__n_estimators': 100, 'passthrough': False}",0.7962413452027696,0.8071216617210683,0.7734915924826904,0.801980198019802,0.7940594059405941,0.7945788406733849,0.01148745594473706,84,0.8354632587859425,0.8423605497170574,0.8163592622293504,0.8410174880763116,0.8375,0.8345401117617325,0.009415647426111682,87
97.51615157127381,6.782459530577758,1.052271842956543,0.03214626227817212,RandomForestClassifier(),True,,1,2,300,True,"{'final_estimator': RandomForestClassifier(), 'final_estimator__bootstrap': True, 'final_estimator__max_depth': None, 'final_estimator__min_samples_leaf': 1, 'final_estimator__min_samples_split': 2, 'final_estimator__n_estimators': 300, 'passthrough': True}",0.8150346191889218,0.8130563798219584,0.8031651829871415,0.808910891089109,0.8148514851485148,0.8110037116471291,0.004496430864717574,10,0.8549262994569433,0.8542791056283732,0.8460943542150039,0.8505034856700232,0.858440575321726,0.8528487640584139,0.004213140552965376,16
91.97288174629212,1.9187436365583692,1.018317174911499,0.013154176173332791,RandomForestClassifier(),True,,1,2,300,False,"{'final_estimator': RandomForestClassifier(), 'final_estimator__bootstrap': True, 'final_estimator__max_depth': None, 'final_estimator__min_samples_leaf': 1, 'final_estimator__min_samples_split': 2, 'final_estimator__n_estimators': 300, 'passthrough': False}",0.7992087042532147,0.8140454995054401,0.7774480712166172,0.801980198019802,0.807920792079208,0.8001206530148564,0.012434460525303635,75,0.8397790055248618,0.8493589743589743,0.8207171314741036,0.8427672955974843,0.8486739469578783,0.8402592707826605,0.010411795544047352,77
90.49511985778808,1.9867459559598315,1.0029850006103516,0.04886819995666817,RandomForestClassifier(),True,,1,10,100,True,"{'final_estimator': RandomForestClassifier(), 'final_estimator__bootstrap': True, 'final_estimator__max_depth': None, 'final_estimator__min_samples_leaf': 1, 'final_estimator__min_samples_split': 10, 'final_estimator__n_estimators': 100, 'passthrough': True}",0.8061325420375866,0.811078140454995,0.8071216617210683,0.7950495049504951,0.8138613861386138,0.8066486470605516,0.0064292180192104765,37,0.8480620155038759,0.8531898539584934,0.8489542989930287,0.8404009252120278,0.8569254185692542,0.8495065024473358,0.005548160104967086,43
91.01578826904297,2.165186601755898,1.0136546611785888,0.059894546630365295,RandomForestClassifier(),True,,1,10,100,False,"{'final_estimator': RandomForestClassifier(), 'final_estimator__bootstrap': True, 'final_estimator__max_depth': None, 'final_estimator__min_samples_leaf': 1, 'final_estimator__min_samples_split': 10, 'final_estimator__n_estimators': 100, 'passthrough': False}",0.8041543026706232,0.8130563798219584,0.7922848664688428,0.8,0.803960396039604,0.8026911890002056,0.006733837178820818,64,0.8431061806656102,0.8479485116653258,0.8330683624801272,0.8406940063091483,0.8455538221528861,0.8420741766546195,0.005112540190909467,73
95.11938376426697,1.5931581240840167,1.0598177909851074,0.020529126915019742,RandomForestClassifier(),True,,1,10,300,True,"{'final_estimator': RandomForestClassifier(), 'final_estimator__bootstrap': True, 'final_estimator__max_depth': None, 'final_estimator__min_samples_leaf': 1, 'final_estimator__min_samples_split': 10, 'final_estimator__n_estimators': 300, 'passthrough': True}",0.8150346191889218,0.8160237388724035,0.8071216617210683,0.8,0.810891089108911,0.8098142217782609,0.005840190471037487,19,0.8547008547008547,0.8573619631901841,0.8498845265588915,0.8448540706605223,0.8556311413454271,0.8524865112911758,0.004551626536989234,23
89.84480595588684,2.5302751030830617,1.0993881702423096,0.031985738890722176,RandomForestClassifier(),True,,1,10,300,False,"{'final_estimator': RandomForestClassifier(), 'final_estimator__bootstrap': True, 'final_estimator__max_depth': None, 'final_estimator__min_samples_leaf': 1, 'final_estimator__min_samples_split': 10, 'final_estimator__n_estimators': 300, 'passthrough': False}",0.8061325420375866,0.811078140454995,0.7912957467853611,0.799009900990099,0.799009900990099,0.8013052462516281,0.006775537543542696,71,0.8459119496855346,0.8470776621297038,0.8334648776637726,0.8417770849571318,0.8422688422688422,0.842100083340997,0.0047750644026248994,72
89.47484169006347,0.8941392680358531,0.9942563056945801,0.019133244428524314,RandomForestClassifier(),True,,4,2,100,True,"{'final_estimator': RandomForestClassifier(), 'final_estimator__bootstrap': True, 'final_estimator__max_depth': None, 'final_estimator__min_samples_leaf': 4, 'final_estimator__min_samples_split': 2, 'final_estimator__n_estimators': 100, 'passthrough': True}",0.8130563798219584,0.8249258160237388,0.80811078140455,0.802970297029703,0.803960396039604,0.8106047340639109,0.007996944565279043,14,0.8549501151189562,0.864575363427697,0.8500772797527048,0.8475095785440613,0.8493150684931506,0.853285481067314,0.006158737401114403,10
87.22488794326782,2.742829257203865,1.0756906032562257,0.10431977709206254,RandomForestClassifier(),True,,4,2,100,False,"{'final_estimator': RandomForestClassifier(), 'final_estimator__bootstrap': True, 'final_estimator__max_depth': None, 'final_estimator__min_samples_leaf': 4, 'final_estimator__min_samples_split': 2, 'final_estimator__n_estimators': 100, 'passthrough': False}",0.7992087042532147,0.8170128585558852,0.7912957467853611,0.7950495049504951,0.800990099009901,0.8007113827109714,0.008817991831513845,74,0.8405341712490181,0.8523543495610535,0.8321400159108989,0.8384074941451991,0.843579766536965,0.8414031594806269,0.006636281528043933,75
