mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_final_estimator,param_final_estimator__C,param_final_estimator__kernel,param_passthrough,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
218.93885164260865,2.5456794690344138,4.06997857093811,0.38316550270848854,"SVC(C=20, probability=True)",1,linear,True,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 1, 'final_estimator__kernel': 'linear', 'passthrough': True}",0.7932739861523245,0.8001978239366964,0.8001978239366964,0.7861386138613862,0.7930693069306931,0.7945755109635593,0.005260506752611391,14,0.8365910867865519,0.8426791277258567,0.8421875,0.8299212598425197,0.8393543428132205,0.8381466634336296,0.0046563325727850555,12
209.04433512687683,1.021557316650124,4.800073051452637,0.4691223779689835,"SVC(C=20, probability=True)",1,linear,False,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 1, 'final_estimator__kernel': 'linear', 'passthrough': False}",0.7942631058358062,0.8051434223541049,0.8061325420375866,0.799009900990099,0.7811881188118812,0.7971474180058957,0.009068140600216707,8,0.8395061728395062,0.8481110254433308,0.8463949843260188,0.8425135764158262,0.8314263920671243,0.8415904302183612,0.005900947407396722,9
223.94596362113953,1.3600122613168049,5.146131372451782,0.48115334743805155,"SVC(C=20, probability=True)",1,rbf,True,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 1, 'final_estimator__kernel': 'rbf', 'passthrough': True}",0.7992087042532147,0.7952522255192879,0.8041543026706232,0.7970297029702971,0.7871287128712872,0.7965547296569421,0.005577974547600301,9,0.844205679201842,0.8421052631578947,0.846749226006192,0.8426707597851114,0.8362528560548365,0.8423967568411752,0.0034676721584484854,6
950.5137082576751,367.58898528621575,116.392835521698,222.68172076181793,"SVC(C=20, probability=True)",1,rbf,False,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 1, 'final_estimator__kernel': 'rbf', 'passthrough': False}",0.7942631058358062,0.8090999010880316,0.80811078140455,0.803960396039604,0.7900990099009901,0.8011066388537964,0.007603894047434613,3,0.8402457757296468,0.854119425547997,0.8503086419753086,0.8488549618320611,0.8417910447761194,0.8470639699722267,0.005249885988943732,2
1517.956441450119,369.835795866047,4.489472341537476,0.20490140283511618,"SVC(C=20, probability=True)",1,poly,True,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 1, 'final_estimator__kernel': 'poly', 'passthrough': True}",0.7744807121661721,0.8031651829871415,0.7883283877349159,0.7792079207920792,0.7782178217821782,0.7846800050924975,0.010302830617128262,19,0.8199052132701421,0.8436763550667715,0.8309636650868878,0.8225934765314241,0.8247261345852894,0.828372968908103,0.008477147549340598,19
433.6507670879364,274.0506958132776,4.163522624969483,0.34592457265072346,"SVC(C=20, probability=True)",1,poly,False,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 1, 'final_estimator__kernel': 'poly', 'passthrough': False}",0.8041543026706232,0.8051434223541049,0.798219584569733,0.7821782178217822,0.7930693069306931,0.7965529668693874,0.008403846056505982,10,0.8426073131955485,0.845732184808144,0.8393700787401576,0.8262243285939969,0.835820895522388,0.837950960172047,0.006727466706068204,13
240.28423957824708,3.656548719686477,4.217503929138184,0.4916761630692701,"SVC(C=20, probability=True)",20,linear,True,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 20, 'final_estimator__kernel': 'linear', 'passthrough': True}",0.7952522255192879,0.8011869436201781,0.7972304648862513,0.7851485148514852,0.7801980198019802,0.7918032337358365,0.007853288067505876,15,0.8373919874312646,0.8430913348946136,0.8407148407148407,0.8292682926829269,0.8287037037037036,0.8358340318854698,0.005879940110810038,16
208.77453575134277,2.7978163067385586,4.259654855728149,0.3222229435014388,"SVC(C=20, probability=True)",20,linear,False,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 20, 'final_estimator__kernel': 'linear', 'passthrough': False}",0.7932739861523245,0.8041543026706232,0.80811078140455,0.800990099009901,0.7851485148514852,0.7983355368177769,0.008197279874345422,5,0.8386100386100387,0.8472222222222221,0.8482003129890454,0.8443067389620449,0.8342245989304813,0.8425127823427664,0.005322978529008873,5
220.789688205719,3.309897857848186,5.080975818634033,0.5228178568634798,"SVC(C=20, probability=True)",20,rbf,True,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 20, 'final_estimator__kernel': 'rbf', 'passthrough': True}",0.7873392680514342,0.7952522255192879,0.7893175074183977,0.7811881188118812,0.7732673267326733,0.7852728893067349,0.007497131327971289,18,0.8286852589641434,0.8363636363636364,0.8321513002364066,0.8261211644374508,0.8186856690419637,0.8284014058087201,0.005952049023226054,18
206.98208808898926,4.067998564883357,4.44002628326416,0.1990882879084154,"SVC(C=20, probability=True)",20,rbf,False,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 20, 'final_estimator__kernel': 'rbf', 'passthrough': False}",0.8041543026706232,0.811078140454995,0.8021760633036598,0.802970297029703,0.801980198019802,0.8044718002957566,0.0033905025390913793,1,0.8472222222222221,0.8545316070068545,0.8442367601246106,0.8475095785440613,0.8484848484848484,0.8483970032765195,0.0033798324210879468,1
241.5598403930664,1.5474028696978328,3.834310531616211,0.2853458714301768,"SVC(C=20, probability=True)",20,poly,True,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 20, 'final_estimator__kernel': 'poly', 'passthrough': True}",0.7270029673590505,0.7457962413452027,0.7457962413452027,0.7415841584158416,0.7396039603960396,0.7399567137722676,0.006910466289627829,22,0.7737704918032786,0.7922392886014551,0.7888249794576828,0.7862407862407863,0.7817427385892116,0.7845636569384828,0.006392760713556407,22
250.09493927955629,6.4031657464445955,3.8627936363220217,0.34197896319099874,"SVC(C=20, probability=True)",20,poly,False,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 20, 'final_estimator__kernel': 'poly', 'passthrough': False}",0.8011869436201781,0.7992087042532147,0.7992087042532147,0.7881188118811882,0.7930693069306931,0.7961584941876978,0.004859473964968148,11,0.841106719367589,0.8430007733952048,0.8410336726703211,0.8309636650868878,0.8363351605324981,0.8384879982105001,0.004357834275063044,10
