mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0.014637637138366699,0.002026175193689498,0.29889307022094724,0.005898924951741176,manhattan,1,distance,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'distance'}",0.801980198019802,0.7762376237623763,0.7584158415841584,0.80990099009901,0.7881188118811882,0.803960396039604,0.805940594059406,0.7940594059405941,0.8,0.7960396039603961,0.7934653465346535,0.01487259226188152,2,0.8305084745762712,0.8150572831423896,0.7932203389830509,0.8394648829431438,0.8254486133768353,0.8352745424292846,0.839344262295082,0.8327974276527331,0.8330578512396695,0.8263069139966274,0.8270480590635086,0.013211348719872876,2
0.009679055213928223,0.001794419426345377,0.28805179595947267,0.009733286528677124,manhattan,1,uniform,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",0.801980198019802,0.7762376237623763,0.7584158415841584,0.80990099009901,0.7881188118811882,0.803960396039604,0.805940594059406,0.7940594059405941,0.8,0.7960396039603961,0.7934653465346535,0.01487259226188152,2,0.8305084745762712,0.8150572831423896,0.7932203389830509,0.8394648829431438,0.8254486133768353,0.8352745424292846,0.839344262295082,0.8327974276527331,0.8330578512396695,0.8263069139966274,0.8270480590635086,0.013211348719872876,2
0.0076390266418457035,0.0014681102152095395,0.2840362787246704,0.011434003293400523,manhattan,2,distance,"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'}",0.801980198019802,0.7762376237623763,0.7584158415841584,0.80990099009901,0.7881188118811882,0.803960396039604,0.805940594059406,0.7940594059405941,0.8,0.7960396039603961,0.7934653465346535,0.01487259226188152,2,0.8305084745762712,0.8150572831423896,0.7932203389830509,0.8394648829431438,0.8254486133768353,0.8352745424292846,0.839344262295082,0.8327974276527331,0.8330578512396695,0.8263069139966274,0.8270480590635086,0.013211348719872876,2
0.006974959373474121,0.0016495349515780182,0.2838892936706543,0.01027755132386611,manhattan,2,uniform,"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}",0.7504950495049505,0.7128712871287128,0.7247524752475247,0.7584158415841584,0.7207920792079208,0.7089108910891089,0.7366336633663366,0.7405940594059406,0.7326732673267327,0.7366336633663366,0.7322772277227723,0.014944920605238199,10,0.7622641509433963,0.7358834244080146,0.7311411992263056,0.7723880597014925,0.7374301675977654,0.7189292543021033,0.7532467532467533,0.7639639639639639,0.7467166979362101,0.7504690431519699,0.7472432714477975,0.01571781428989784,16
0.006182646751403809,0.0007177610188237496,0.3006777048110962,0.015603802898002691,manhattan,3,distance,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.801980198019802,0.7702970297029703,0.7702970297029703,0.8158415841584158,0.7663366336633664,0.7920792079207921,0.805940594059406,0.7623762376237624,0.7920792079207921,0.7762376237623763,0.7853465346534654,0.017737976773511833,5,0.8344370860927153,0.8146964856230032,0.8040540540540541,0.8507223113964687,0.8108974358974359,0.8298217179902755,0.8454258675078864,0.8089171974522293,0.8314606741573034,0.8168557536466775,0.8247288583818049,0.015168812474712565,6
0.0067702531814575195,0.0014417162222643998,0.29308784008026123,0.010888653629336614,manhattan,3,uniform,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.7801980198019802,0.7465346534653465,0.7366336633663366,0.7841584158415842,0.7524752475247525,0.7623762376237624,0.7742574257425743,0.7247524752475247,0.7643564356435644,0.7603960396039604,0.7586138613861386,0.017963135795923346,7,0.8177339901477833,0.7955271565495208,0.7772194304857621,0.8261562998405104,0.8,0.8058252427184466,0.8201892744479495,0.7790143084260731,0.8089887640449438,0.8045234248788369,0.8035177891539828,0.015482433453771666,7
0.007383227348327637,0.0006509423599761864,0.28582172393798827,0.00733037622707834,manhattan,4,distance,"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}",0.8118811881188119,0.7762376237623763,0.7722772277227723,0.8257425742574257,0.7702970297029703,0.80990099009901,0.8217821782178217,0.8,0.8118811881188119,0.7881188118811882,0.7988118811881189,0.01964691763138607,1,0.8408710217755444,0.8192,0.8080133555926544,0.8589743589743589,0.8141025641025641,0.8441558441558441,0.8584905660377359,0.8394276629570747,0.8475120385232745,0.8260162601626017,0.8356763672281652,0.01706395301745082,1
0.006235837936401367,0.0007405913163870677,0.2926823854446411,0.005251354994123061,manhattan,4,uniform,"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'}",0.7544554455445545,0.7247524752475247,0.7326732673267327,0.7445544554455445,0.7188118811881188,0.7247524752475247,0.7485148514851485,0.7267326732673267,0.7445544554455445,0.7227722772277227,0.7342574257425742,0.011973240758678009,9,0.7753623188405797,0.7599309153713298,0.7567567567567568,0.7772020725388601,0.7534722222222222,0.7548500881834215,0.7836456558773425,0.759581881533101,0.774869109947644,0.75177304964539,0.7647444070916648,0.011110985711570313,15
0.005744433403015137,0.0005068166137036219,0.2922715425491333,0.010208080655432626,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.7881188118811882,0.7782178217821782,0.7702970297029703,0.8217821782178217,0.7564356435643564,0.7722772277227723,0.7960396039603961,0.7861386138613862,0.7980198019801981,0.7603960396039604,0.7827722772277228,0.018576959418408926,6,0.8225538971807629,0.8227848101265823,0.8104575163398693,0.8584905660377359,0.8038277511961722,0.8165869218500797,0.8377952755905512,0.8296529968454258,0.8360128617363344,0.810641627543036,0.824880422444655,0.015413334439631601,5
0.006706452369689942,0.0014859579795622423,0.2982401609420776,0.010928314133704422,manhattan,5,uniform,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.7603960396039604,0.7445544554455445,0.7148514851485148,0.7742574257425743,0.7247524752475247,0.7207920792079208,0.7544554455445545,0.7445544554455445,0.7603960396039604,0.7247524752475247,0.7423762376237624,0.01914657960671338,8,0.8013136288998358,0.7968503937007874,0.7684887459807074,0.8229813664596274,0.7804107424960506,0.7786499215070644,0.8056426332288401,0.7981220657276995,0.8070175438596491,0.7817896389324961,0.7941266680792758,0.01563195981495736,8
