Model,precision,recall,f1-score
SVC(kernel_rbf)(C_1),0.8059602482027775,0.3123705208266215,0.4491584779708969
SVC(kernel_rbf)(C_1),0.6737862177823326,0.9494350296593488,0.7877247948687536
SVC(kernel_rbf)(C_1),0.6938539506124525,0.6938539506124525,0.6938539506124525
SVC(kernel_rbf)(C_1),0.739873232992555,0.6309027752429851,0.6184416364198253
SVC(kernel_rbf)(C_1),0.7283057716097825,0.6938539506124525,0.6524011297027517
SVC(kernel_rbf)(C_2),0.7557961204823511,0.3989662262670546,0.5215524254066114
SVC(kernel_rbf)(C_2),0.694683563598679,0.9139321958468832,0.7889824660168943
SVC(kernel_rbf)(C_2),0.7075059679881031,0.7075059679881031,0.7075059679881031
SVC(kernel_rbf)(C_2),0.7252398420405151,0.656449211056969,0.6552674457117529
SVC(kernel_rbf)(C_2),0.7208800139872181,0.7075059679881031,0.6824758541487852
SVC(kernel_rbf)(C_3),0.740186676814286,0.4474704908246811,0.5569505094196832
SVC(kernel_rbf)(C_3),0.7076397160113659,0.8946567989645062,0.7898803547714428
SVC(kernel_rbf)(C_3),0.7154240206629359,0.7154240206629359,0.7154240206629359
SVC(kernel_rbf)(C_3),0.7239131964128259,0.6710636448945937,0.673415432095563
SVC(kernel_rbf)(C_3),0.7219010279131421,0.7154240206629359,0.6970636705614649
SVC(kernel_rbf)(C_4),0.7400394589454073,0.4831456977624844,0.5840224880169542
SVC(kernel_rbf)(C_4),0.7192593149834124,0.8863620012529239,0.7937974047340989
SVC(kernel_rbf)(C_4),0.7247235158298438,0.7247235158298438,0.7247235158298438
SVC(kernel_rbf)(C_4),0.7296493869644098,0.6847538495077041,0.6889099463755265
SVC(kernel_rbf)(C_4),0.7287886515598667,0.7247235158298438,0.7102452822968376
SVC(kernel_rbf)(C_5),0.7300991744300396,0.5053104044934212,0.5964803644642783
SVC(kernel_rbf)(C_5),0.7254552573878167,0.8751875216809785,0.792935286546197
SVC(kernel_rbf)(C_5),0.7267025398191993,0.7267025398191993,0.7267025398191993
SVC(kernel_rbf)(C_5),0.7277772159089282,0.6902489630871999,0.6947078255052377
SVC(kernel_rbf)(C_5),0.7285758614264886,0.7267025398191993,0.7146313663791874
SVC(kernel_rbf)(C_6),0.7269537241098065,0.5204737676131049,0.6060030174008939
SVC(kernel_rbf)(C_6),0.7305358072542979,0.8695966754415603,0.7937064718476375
SVC(kernel_rbf)(C_6),0.7296673580401518,0.7296673580401518,0.7296673580401518
SVC(kernel_rbf)(C_6),0.7287447656820523,0.6950352215273325,0.6998547446242658
SVC(kernel_rbf)(C_6),0.7303801363438971,0.7296673580401518,0.7190614187371616
SVC(kernel_rbf)(C_7),0.7287720547684179,0.530347236047146,0.6132330138337733
SVC(kernel_rbf)(C_7),0.7343438816097386,0.8683435637822534,0.7954051158498414
SVC(kernel_rbf)(C_7),0.7328325441239776,0.7328325441239776,0.7328325441239776
SVC(kernel_rbf)(C_7),0.7315579681890783,0.6993453999146997,0.7043190648418074
SVC(kernel_rbf)(C_7),0.7334356506403458,0.7328325441239776,0.7229758039887715
SVC(kernel_rbf)(C_8),0.7212474187259889,0.54099902489019,0.6176333240489381
SVC(kernel_rbf)(C_8),0.7370088963224741,0.8603687253120356,0.7936243214510431
SVC(kernel_rbf)(C_8),0.7324357218330528,0.7324357218330528,0.7324357218330528
SVC(kernel_rbf)(C_8),0.7291281575242314,0.7006838751011129,0.7056288227499905
SVC(kernel_rbf)(C_8),0.7319891731126288,0.7324357218330528,0.7237305955139548
SVC(kernel_rbf)(C_9),0.721913072147072,0.5555194678091105,0.6272887695608252
SVC(kernel_rbf)(C_9),0.7425600579257285,0.8571742307460462,0.7954762457367232
SVC(kernel_rbf)(C_9),0.7363914217508707,0.7363914217508707,0.7363914217508707
SVC(kernel_rbf)(C_9),0.7322365650364003,0.7063468492775784,0.7113825076487742
SVC(kernel_rbf)(C_9),0.7356349177413006,0.7363914217508707,0.7287673333674726
SVC(kernel_rbf)(C_10),0.7182500997312791,0.5628064991958249,0.6305522539583746
SVC(kernel_rbf)(C_10),0.7446523587675037,0.8524722416580796,0.7946616131525739
SVC(kernel_rbf)(C_10),0.7365894415528509,0.7365894415528509,0.7365894415528509
SVC(kernel_rbf)(C_10),0.7314512292493914,0.7076393704269522,0.7126069335554741
SVC(kernel_rbf)(C_10),0.735368915145048,0.7365894415528509,0.7296160058174621
SVC(kernel_rbf)(C_11),0.7194417132057767,0.5723072392598137,0.6369018036308134
SVC(kernel_rbf)(C_11),0.7484052731042011,0.8508092044162234,0.7960517733571938
SVC(kernel_rbf)(C_11),0.7393593707196807,0.7393593707196807,0.7393593707196807
SVC(kernel_rbf)(C_11),0.733923493154989,0.7115582218380185,0.7164767884940035
SVC(kernel_rbf)(C_11),0.738082997730328,0.7393593707196807,0.732967740218575
SVC(kernel_rbf)(C_16),0.7120349421888463,0.5978263042511657,0.649484113587273
SVC(kernel_rbf)(C_16),0.7569810355288364,0.8380113737534056,0.79523498538404
SVC(kernel_rbf)(C_16),0.7421285171995461,0.7421285171995461,0.7421285171995461
SVC(kernel_rbf)(C_16),0.7345079888588414,0.7179188390022857,0.7223595494856565
SVC(kernel_rbf)(C_16),0.7400650147992378,0.7421285171995461,0.7375563140867817
SVC(kernel_rbf)(C_21),0.7076565439129511,0.6060333413729847,0.6525712400601
SVC(kernel_rbf)(C_21),0.759514252130975,0.8322114688295997,0.7940589452748132
SVC(kernel_rbf)(C_21),0.7421269518256174,0.7421269518256174,0.7421269518256174
SVC(kernel_rbf)(C_21),0.733585398021963,0.7191224051012921,0.7233150926674565
SVC(kernel_rbf)(C_21),0.7397137834324302,0.7421269518256174,0.7381311863277874
SVC(kernel_rbf)(C_26),0.6990423551013224,0.6141567074017391,0.6535725649139478
SVC(kernel_rbf)(C_26),0.7611709415524595,0.8228843393731186,0.7906950625648963
SVC(kernel_rbf)(C_26),0.7397514968888192,0.7397514968888192,0.7397514968888192
SVC(kernel_rbf)(C_26),0.730106648326891,0.7185205233874288,0.722133813739422
SVC(kernel_rbf)(C_26),0.7372248529383497,0.7397514968888192,0.7364790321891997
SVC(kernel_rbf)(C_31),0.6918785556104184,0.6183187833432268,0.6527585737659141
SVC(kernel_rbf)(C_31),0.7614198438729873,0.8156163848526395,0.7874497789247267
SVC(kernel_rbf)(C_31),0.7369807850350252,0.7369807850350252,0.7369807850350252
SVC(kernel_rbf)(C_31),0.7266491997417028,0.716967584097933,0.7201041763453203
SVC(kernel_rbf)(C_31),0.7345450157496343,0.7369807850350252,0.7341842062378555
SVC(kernel_rbf)(C_36),0.6954447513695868,0.6254770670655493,0.6583136099863338
SVC(kernel_rbf)(C_36),0.7649746827197655,0.8166708617579724,0.7898277277162802
SVC(kernel_rbf)(C_36),0.7403463389817243,0.7403463389817243,0.7403463389817243
SVC(kernel_rbf)(C_36),0.7302097170446762,0.7210739644117609,0.7240706688513069
SVC(kernel_rbf)(C_36),0.7381367077183054,0.7403463389817243,0.7377816887734773
SVC(kernel_rbf)(C_41),0.6973678975065907,0.6315534610626089,0.6625390912429984
SVC(kernel_rbf)(C_41),0.7678533896030457,0.8167013616283981,0.7913653988208388
SVC(kernel_rbf)(C_41),0.7427202285445935,0.7427202285445935,0.7427202285445935
SVC(kernel_rbf)(C_41),0.7326106435548182,0.7241274113455035,0.7269522450319186
SVC(kernel_rbf)(C_41),0.7406622006868366,0.7427202285445935,0.7403683853815887
SVC(kernel_rbf)(C_46),0.6948808651765694,0.6335196446374881,0.662554220082458
SVC(kernel_rbf)(C_46),0.7681936643117949,0.813900710146634,0.7902590328743131
SVC(kernel_rbf)(C_46),0.7419312800845301,0.7419312800845301,0.7419312800845301
SVC(kernel_rbf)(C_46),0.7315372647441822,0.7237101773920611,0.7264066264783856
SVC(kernel_rbf)(C_46),0.7397839242653376,0.7419312800845301,0.7397220385882589
