Model,precision,recall,f1-score
StackingClassifier,0.8431305068159369,0.6788264831502356,0.7516107690789166
StackingClassifier,0.8094865538449618,0.9159065602586772,0.8591387528756211
StackingClassifier,0.82050757249638,0.82050757249638,0.82050757249638
StackingClassifier,0.8263085303304495,0.7973665217044564,0.8053747609772689
StackingClassifier,0.8240296773145277,0.82050757249638,0.8163456526498922
StackingClassifier,0.837166971896302,0.6439275815359281,0.7271973680460527
StackingClassifier,0.7943384374435833,0.9169066789180188,0.8509407258027378
StackingClassifier,0.8075247524752476,0.8075247524752476,0.8075247524752476
StackingClassifier,0.8157527046699427,0.7804171302269735,0.7890690469243953
StackingClassifier,0.8126158423319799,0.8075247524752476,0.8018825509104719
StackingClassifier,0.8422735575665443,0.6382585069792619,0.7255882785493696
StackingClassifier,0.7925337618039818,0.9209748778865552,0.8516738362221558
StackingClassifier,0.8077227722772278,0.8077227722772278,0.8077227722772278
StackingClassifier,0.8174036596852631,0.7796166924329085,0.7886310573857627
StackingClassifier,0.8136470956743592,0.8077227722772278,0.8017269242891819
StackingClassifier,0.8375972034409317,0.6645815332641509,0.7404205861992809
StackingClassifier,0.8030849194996105,0.9142911422651516,0.8548021883203244
StackingClassifier,0.814059405940594,0.814059405940594,0.814059405940594
StackingClassifier,0.820341061470271,0.7894363377646512,0.7976113872598026
StackingClassifier,0.8178377814507938,0.814059405940594,0.8093183364926926
StackingClassifier,0.830926305227379,0.6573118230248974,0.7330387673139025
StackingClassifier,0.7992058062146675,0.9114240929937626,0.8512228793903027
StackingClassifier,0.8091089108910892,0.8091089108910892,0.8091089108910892
StackingClassifier,0.8150660557210232,0.7843679580093301,0.7921308233521026
StackingClassifier,0.8132326570933982,0.8091089108910892,0.8042143328771978
StackingClassifier,0.831829143257756,0.6671616768268527,0.7397222593864063
StackingClassifier,0.8036023045464065,0.9104646456880812,0.8533881008321307
StackingClassifier,0.8126732673267327,0.8126732673267327,0.8126732673267327
StackingClassifier,0.8177157239020814,0.7888131612574669,0.7965551801092685
StackingClassifier,0.8159699348524763,0.8126732673267327,0.8081837449387491
