mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_lr,param_n_features,param_weight_decay,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
5.537017298,0.254619265,0.474965811,0.002962988,scale,0.01,2500,0.01,"{'gamma': 'scale', 'lr': 0.01, 'n_features': 2500, 'weight_decay': 0.01}",0.671181251,0.662112825,0.713191991,0.71024735,0.740989399,0.699544563,0.029065749,1,0.736006051,0.736474695,0.692356286,0.738186462,0.754384005,0.7314815,0.020715536,5,0.736006051,0.736474695,0.692356286,0.738186462,0.754384005,0.7314815,0.020715536,5,0.614752804,0.603674145,0.746594005,0.673267327,0.71728972,0.6711156,0.055783122,1,0.916843345,0.94418276,0.645465253,0.816961131,0.795524146,0.823795327,0.105639622,16,0.671210179,0.662079602,0.713191991,0.71024735,0.740989399,0.699543704,0.029068667,1,-0.315274954,-0.351548672,-0.147232056,-0.159010649,-0.036042452,-0.201821756,0.116262962,1
5.129590178,0.447324664,0.39515872,0.003934736,scale,0.08,2000,0.01,"{'gamma': 'scale', 'lr': 0.08, 'n_features': 2000, 'weight_decay': 0.01}",0.689318102,0.604993523,0.64852768,0.703533569,0.675853946,0.664445364,0.034826974,2,0.757714916,0.713480267,0.736674903,0.763772877,0.75,0.744328592,0.017886514,1,0.757714916,0.713480267,0.736674903,0.763772877,0.75,0.744328592,0.017886514,1,0.620954388,0.559785523,0.588965712,0.634789392,0.610380009,0.602975005,0.026274852,5,0.971731449,0.983513895,0.983274441,0.958539458,0.972438163,0.973899481,0.009198836,8,0.689351358,0.604948938,0.64852768,0.703533569,0.675853946,0.664443098,0.034846949,2,-0.242727637,-0.580025911,-0.405889273,-0.18586576,-0.296584249,-0.342218566,0.139307881,2
5.628323984,0.238424185,0.492213297,0.004166436,scale,0.01,2500,0.001,"{'gamma': 'scale', 'lr': 0.01, 'n_features': 2500, 'weight_decay': 0.001}",0.744081969,0.519255682,0.725795053,0.752179034,0.558303887,0.659923125,0.100046763,3,0.760286817,0.675051743,0.738368173,0.772884283,0.691814596,0.727681122,0.03814952,10,0.760286817,0.675051743,0.738368173,0.772884283,0.691814596,0.727681122,0.03814952,10,0.714937759,0.50986051,0.705996132,0.7132895,0.531238167,0.635064414,0.09379353,2,0.811778563,0.998586905,0.77385159,0.843345112,0.991519435,0.883816321,0.093479246,13,0.744089941,0.519199224,0.725795053,0.752179034,0.558303887,0.659913428,0.100063981,3,-0.023672104,-0.922977328,-0.096819758,0.008716166,-0.76678443,-0.360307491,0.400187075,3
4.991057587,0.204108,0.402191544,0.008975694,scale,0.01,2000,0.005,"{'gamma': 'scale', 'lr': 0.01, 'n_features': 2000, 'weight_decay': 0.005}",0.713932399,0.684136144,0.631095406,0.72532391,0.501648999,0.651227372,0.081589448,4,0.757560635,0.674435543,0.722684611,0.751067464,0.667400362,0.714629723,0.03763466,13,0.757560635,0.674435543,0.722684611,0.751067464,0.667400362,0.714629723,0.03763466,13,0.657256668,0.695891784,0.578947368,0.686707008,0.500825861,0.623925738,0.074038076,3,0.893992933,0.654262836,0.961366313,0.828739694,1,0.867672355,0.121689204,14,0.713953603,0.684139663,0.631095406,0.72532391,0.501648999,0.651232316,0.081592992,4,-0.14427042,-0.263455391,-0.475618362,-0.098704338,-0.993404031,-0.395090508,0.326357806,4
4.963136673,0.104147094,0.398119974,0.014664471,scale,0.08,2000,0.005,"{'gamma': 'scale', 'lr': 0.08, 'n_features': 2000, 'weight_decay': 0.005}",0.636556354,0.688847014,0.640047114,0.628150766,0.652179034,0.649156056,0.021295343,5,0.729866947,0.75703513,0.731317039,0.724592166,0.737767516,0.73611576,0.011271352,2,0.729866947,0.75703513,0.731317039,0.724592166,0.737767516,0.73611576,0.011271352,2,0.580721549,0.621001811,0.58339178,0.575367138,0.592075257,0.590511507,0.016173989,7,0.982096584,0.969382949,0.979740872,0.978327444,0.978563015,0.977622173,0.004330742,6,0.636597044,0.688813971,0.640047114,0.628150766,0.652179034,0.649157586,0.021278216,5,-0.453774571,-0.244611979,-0.439811587,-0.487396955,-0.39128387,-0.403375793,0.085181363,5
4.982879686,0.216007828,0.410064936,0.041470263,scale,0.08,2000,0.001,"{'gamma': 'scale', 'lr': 0.08, 'n_features': 2000, 'weight_decay': 0.001}",0.644447062,0.658226357,0.62155477,0.638515901,0.669964664,0.646541751,0.016603097,6,0.733091681,0.740010751,0.722514898,0.730529458,0.746517098,0.734532777,0.008199572,3,0.733091681,0.740010751,0.722514898,0.730529458,0.746517098,0.734532777,0.008199572,3,0.586753467,0.597165992,0.57035724,0.582306831,0.605962696,0.588509245,0.01225243,8,0.976678445,0.97268017,0.985394582,0.979976443,0.97196702,0.977339332,0.004956767,7,0.644486184,0.658189319,0.62155477,0.638515901,0.669964664,0.646542168,0.016596913,6,-0.422211766,-0.367094517,-0.513780951,-0.445936441,-0.320141315,-0.413832998,0.066412416,6
5.469280529,0.290446715,0.497448301,0.020850194,scale,0.01,2500,0.005,"{'gamma': 'scale', 'lr': 0.01, 'n_features': 2500, 'weight_decay': 0.005}",0.694028972,0.705688376,0.676678445,0.558539458,0.581743227,0.643335696,0.060915413,7,0.646434404,0.757731459,0.725746828,0.690196727,0.700665936,0.704155071,0.03708185,15,0.646434404,0.757731459,0.725746828,0.690196727,0.700665936,0.704155071,0.03708185,15,0.765388334,0.643928159,0.630117974,0.531643958,0.545550013,0.623325688,0.08379378,4,0.559481743,0.920395667,0.855594817,0.983510012,0.979034158,0.859603279,0.157099543,15,0.694013128,0.705663086,0.676678445,0.558539458,0.581743227,0.643327469,0.0609076,7,-0.223884106,-0.177246451,-0.293286204,-0.765842199,-0.673027039,-0.4266572,0.243661664,7
5.983012724,0.215844503,0.503118086,0.0393795,scale,0.08,2500,0.005,"{'gamma': 'scale', 'lr': 0.08, 'n_features': 2500, 'weight_decay': 0.005}",0.644800377,0.617124014,0.631448763,0.655005889,0.661012956,0.6418784,0.015928322,8,0.733944954,0.718601229,0.727462765,0.738645489,0.742391694,0.732209226,0.008435963,4,0.733944954,0.718601229,0.727462765,0.738645489,0.742391694,0.732209226,0.008435963,4,0.586659145,0.568085398,0.577114428,0.594513071,0.598671864,0.585008781,0.011211216,11,0.979976443,0.977626001,0.983745583,0.975029446,0.976914016,0.978658298,0.002996488,5,0.644839846,0.617081552,0.631448763,0.655005889,0.661012956,0.641877801,0.015942982,8,-0.42079854,-0.531503916,-0.474204898,-0.379976392,-0.35594821,-0.432486391,0.063713269,8
5.071056986,0.313686113,0.399725246,0.016231074,scale,0.08,2000,0.0025,"{'gamma': 'scale', 'lr': 0.08, 'n_features': 2000, 'weight_decay': 0.0025}",0.679071959,0.649157932,0.583863369,0.668786808,0.610129564,0.638201926,0.035962661,9,0.751572614,0.736114802,0.704524546,0.746621013,0.71568459,0.730903513,0.018049236,6,0.751572614,0.736114802,0.704524546,0.746621013,0.71568459,0.730903513,0.018049236,6,0.61302796,0.589947466,0.546161826,0.604552751,0.563201298,0.58337826,0.02515071,12,0.971024735,0.978568064,0.992226148,0.975971731,0.98138987,0.97983611,0.007072608,4,0.679106338,0.649119132,0.583863369,0.668786808,0.610129564,0.638201042,0.035968118,9,-0.283712149,-0.403368235,-0.66454649,-0.324852824,-0.55948174,-0.447192287,0.14385063,9
5.764184618,0.220538341,0.472199917,0.011777997,scale,0.08,2500,0.001,"{'gamma': 'scale', 'lr': 0.08, 'n_features': 2500, 'weight_decay': 0.001}",0.651866682,0.650453421,0.623792697,0.642285041,0.618021201,0.637283809,0.013886464,10,0.737384506,0.73580203,0.723988939,0.733151744,0.720792079,0.73022386,0.006615075,7,0.737384506,0.73580203,0.723988939,0.733151744,0.720792079,0.73022386,0.006615075,7,0.591926972,0.591442473,0.571721032,0.584641256,0.56797829,0.581542004,0.009958896,13,0.97762073,0.973386717,0.986808009,0.982803298,0.986101296,0.98134401,0.005134158,2,0.651905042,0.650415384,0.623792697,0.642285041,0.618021201,0.637283873,0.013887327,10,-0.392533302,-0.398186326,-0.504829168,-0.430859804,-0.527915239,-0.450864768,0.055545852,10
5.637291002,0.320208261,0.477606821,0.013129416,scale,0.01,2500,0.0025,"{'gamma': 'scale', 'lr': 0.01, 'n_features': 2500, 'weight_decay': 0.0025}",0.617948416,0.605582381,0.703180212,0.517078916,0.733451119,0.635448209,0.076683368,11,0.717863976,0.711913978,0.743066884,0.674344718,0.746612921,0.718760496,0.026026901,12,0.717863976,0.711913978,0.743066884,0.674344718,0.746612921,0.718760496,0.026026901,12,0.569005929,0.560780594,0.655042243,0.508687837,0.711481007,0.600999522,0.072511204,6,0.972202591,0.974564296,0.858421673,1,0.785394582,0.918116628,0.082456227,11,0.617990132,0.605538921,0.703180212,0.517078916,0.733451119,0.63544786,0.076684854,11,-0.528206348,-0.577670455,-0.187279105,-0.931684375,-0.066195488,-0.458207154,0.3067335,11
5.959997034,0.060455956,0.498238564,0.032957612,scale,0.08,2500,0.0025,"{'gamma': 'scale', 'lr': 0.08, 'n_features': 2500, 'weight_decay': 0.0025}",0.629961135,0.641502768,0.630624264,0.650647821,0.624028269,0.635352851,0.009501935,12,0.7261635,0.731095406,0.727399166,0.737336167,0.722627737,0.728924395,0.005001359,8,0.7261635,0.731095406,0.727399166,0.737336167,0.722627737,0.728924395,0.005001359,8,0.576289943,0.584959005,0.576387932,0.590747836,0.572490706,0.580175085,0.006680651,14,0.98138987,0.974564296,0.985630153,0.980683157,0.9795053,0.980354555,0.003556969,3,0.630002519,0.641463538,0.630624264,0.650647821,0.624028269,0.635353282,0.00949219,12,-0.480155468,-0.433988929,-0.477502942,-0.397408724,-0.503886938,-0.4585886,0.038007743,12
5.976468849,0.365687855,0.491988325,0.011282352,scale,0.08,2500,0.01,"{'gamma': 'scale', 'lr': 0.08, 'n_features': 2500, 'weight_decay': 0.01}",0.632434342,0.621363797,0.63639576,0.627090695,0.646407538,0.632738426,0.008504025,13,0.728017429,0.721765469,0.729897629,0.725507196,0.73443029,0.727923603,0.004242739,9,0.728017429,0.721765469,0.729897629,0.725507196,0.73443029,0.727923603,0.004242739,9,0.577731674,0.570529484,0.580595768,0.57401564,0.588043632,0.57818324,0.005986659,15,0.983981154,0.982100801,0.982567727,0.985630153,0.977856302,0.982427227,0.002595884,1,0.63247574,0.621321307,0.63639576,0.627090695,0.646407538,0.632738208,0.00851513,13,-0.470262647,-0.514544845,-0.45441699,-0.49163723,-0.414369822,-0.469046307,0.034016117,13
4.94311471,0.17524973,0.399037409,0.011645513,scale,0.01,2000,0.0025,"{'gamma': 'scale', 'lr': 0.01, 'n_features': 2000, 'weight_decay': 0.0025}",0.544223295,0.59945825,0.63557126,0.662426384,0.71778563,0.631892964,0.058414641,14,0.685519259,0.710281966,0.72595217,0.727411071,0.752632666,0.720359426,0.022081481,11,0.685519259,0.710281966,0.72595217,0.727411071,0.752632666,0.720359426,0.022081481,11,0.523260141,0.55638596,0.581689141,0.609985644,0.669913619,0.588246901,0.049846622,9,0.993639576,0.981865285,0.965371025,0.900824499,0.858657244,0.940071526,0.051816857,9,0.544276218,0.599413208,0.63557126,0.662426384,0.71778563,0.63189454,0.058403764,14,-0.823106766,-0.60216701,-0.457714915,-0.350294471,-0.128857493,-0.472428131,0.233658543,14
