Model,precision,recall,f1-score
KNeighborsClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9470934449587162,0.8146778712608089,0.8758875621666589
KNeighborsClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.8374072923215407,0.9545008440896569,0.8921103806530045
KNeighborsClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.8845754758138563,0.8845754758138563,0.8845754758138563
KNeighborsClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.8922503686401283,0.884589357675233,0.8839989714098317
KNeighborsClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.8922823463134663,0.8845754758138563,0.8840082749339306
KNeighborsClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9528632634310552,0.8893439068124481,0.9199947409367896
KNeighborsClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.8962465452620283,0.9560103680271238,0.9251513266245056
KNeighborsClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9226655813354095,0.9226655813354095,0.9226655813354095
KNeighborsClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9245549043465416,0.922677137419786,0.9225730337806476
KNeighborsClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.924580434672664,0.9226655813354095,0.922580124839324
KNeighborsClassifier(algorithm_auto)(leaf_size_30)(metric_manhattan)(metric_params_None)(n_jobs_None)(n_neighbors_2)(p_2)(weights_distance),0.9528632634310552,0.8893439068124481,0.9199947409367896
KNeighborsClassifier(algorithm_auto)(leaf_size_30)(metric_manhattan)(metric_params_None)(n_jobs_None)(n_neighbors_2)(p_2)(weights_distance),0.8962465452620283,0.9560103680271238,0.9251513266245056
KNeighborsClassifier(algorithm_auto)(leaf_size_30)(metric_manhattan)(metric_params_None)(n_jobs_None)(n_neighbors_2)(p_2)(weights_distance),0.9226655813354095,0.9226655813354095,0.9226655813354095
KNeighborsClassifier(algorithm_auto)(leaf_size_30)(metric_manhattan)(metric_params_None)(n_jobs_None)(n_neighbors_2)(p_2)(weights_distance),0.9245549043465416,0.922677137419786,0.9225730337806476
KNeighborsClassifier(algorithm_auto)(leaf_size_30)(metric_manhattan)(metric_params_None)(n_jobs_None)(n_neighbors_2)(p_2)(weights_distance),0.924580434672664,0.9226655813354095,0.922580124839324
KNeighborsClassifier(algorithm_auto)(leaf_size_30)(metric_manhattan)(metric_params_None)(n_jobs_None)(n_neighbors_2)(p_2)(weights_distance),0.9528632634310552,0.8893439068124481,0.9199947409367896
KNeighborsClassifier(algorithm_auto)(leaf_size_30)(metric_manhattan)(metric_params_None)(n_jobs_None)(n_neighbors_2)(p_2)(weights_distance),0.8962465452620283,0.9560103680271238,0.9251513266245057
KNeighborsClassifier(algorithm_auto)(leaf_size_30)(metric_manhattan)(metric_params_None)(n_jobs_None)(n_neighbors_2)(p_2)(weights_distance),0.9226655813354097,0.9226655813354097,0.9226655813354097
KNeighborsClassifier(algorithm_auto)(leaf_size_30)(metric_manhattan)(metric_params_None)(n_jobs_None)(n_neighbors_2)(p_2)(weights_distance),0.9245549043465416,0.922677137419786,0.9225730337806477
KNeighborsClassifier(algorithm_auto)(leaf_size_30)(metric_manhattan)(metric_params_None)(n_jobs_None)(n_neighbors_2)(p_2)(weights_distance),0.924580434672664,0.9226655813354097,0.922580124839324
