mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0.019588112831115723,0.004791832757236663,0.4532282829284668,0.04860412002566057,manhattan,1,distance,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'distance'}",0.7980198019801981,0.7742574257425743,0.7564356435643564,0.8118811881188119,0.7861386138613862,0.801980198019802,0.807920792079208,0.7920792079207921,0.7940594059405941,0.7960396039603961,0.7918811881188119,0.015553065715531849,2,0.8271186440677966,0.8131147540983606,0.7918781725888325,0.8408710217755444,0.8241042345276873,0.8338870431893688,0.8412438625204582,0.8314606741573034,0.8289473684210527,0.8263069139966274,0.8258932689343033,0.013745502051293348,2
0.015001702308654784,0.0039814982804076415,0.40529019832611085,0.018681349641054085,manhattan,1,uniform,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",0.7980198019801981,0.7742574257425743,0.7564356435643564,0.8118811881188119,0.7861386138613862,0.801980198019802,0.807920792079208,0.7920792079207921,0.7940594059405941,0.7960396039603961,0.7918811881188119,0.015553065715531849,2,0.8271186440677966,0.8131147540983606,0.7918781725888325,0.8408710217755444,0.8241042345276873,0.8338870431893688,0.8412438625204582,0.8314606741573034,0.8289473684210527,0.8263069139966274,0.8258932689343033,0.013745502051293348,2
0.010513043403625489,0.0016000361167690853,0.4248159885406494,0.05395028530015675,manhattan,2,distance,"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'}",0.7980198019801981,0.7742574257425743,0.7564356435643564,0.8118811881188119,0.7861386138613862,0.801980198019802,0.807920792079208,0.7920792079207921,0.7940594059405941,0.7960396039603961,0.7918811881188119,0.015553065715531849,2,0.8271186440677966,0.8131147540983606,0.7918781725888325,0.8408710217755444,0.8241042345276873,0.8338870431893688,0.8412438625204582,0.8314606741573034,0.8289473684210527,0.8263069139966274,0.8258932689343033,0.013745502051293348,2
0.012297773361206054,0.003443990669924805,0.424989914894104,0.06132813342057639,manhattan,2,uniform,"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}",0.7524752475247525,0.7108910891089109,0.7247524752475247,0.7564356435643564,0.7188118811881188,0.7108910891089109,0.7386138613861386,0.7386138613861386,0.7306930693069307,0.7405940594059406,0.7322772277227723,0.01515336750075961,11,0.7637051039697542,0.7326007326007326,0.7311411992263056,0.7692307692307693,0.7360594795539034,0.7213740458015268,0.7555555555555555,0.762589928057554,0.7453183520599251,0.7551401869158878,0.7472715352971915,0.01546961290856596,16
0.010669207572937012,0.0015656586353209215,0.41683573722839357,0.04139545575997001,manhattan,3,distance,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.805940594059406,0.7663366336633664,0.7702970297029703,0.8118811881188119,0.7643564356435644,0.7920792079207921,0.807920792079208,0.7623762376237624,0.7920792079207921,0.7742574257425743,0.7847524752475248,0.018449878053690756,5,0.8377483443708609,0.8121019108280255,0.8047138047138047,0.8475120385232745,0.8096,0.8298217179902755,0.8472440944881889,0.8089171974522293,0.832,0.814935064935065,0.8244594173301725,0.015519176684184293,6
0.012555599212646484,0.0035545401027247095,0.41402947902679443,0.04657383961249337,manhattan,3,uniform,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.7861386138613862,0.7445544554455445,0.7366336633663366,0.7841584158415842,0.7504950495049505,0.7643564356435644,0.7742574257425743,0.7247524752475247,0.7643564356435644,0.7584158415841584,0.7588118811881188,0.019009900990099027,7,0.8223684210526315,0.7942583732057417,0.7779632721202003,0.8256,0.7987220447284346,0.807131280388979,0.8207547169811321,0.7790143084260731,0.8096,0.8025889967637541,0.8038001413666945,0.015976194577933832,7
0.011867880821228027,0.00401569808531346,0.4362230062484741,0.08380609865383544,manhattan,4,distance,"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}",0.8118811881188119,0.7742574257425743,0.7742574257425743,0.8277227722772277,0.7702970297029703,0.8138613861386138,0.8237623762376237,0.7980198019801981,0.807920792079208,0.7900990099009901,0.7992079207920793,0.020081199737167852,1,0.8408710217755444,0.8178913738019169,0.8106312292358804,0.8603531300160514,0.8141025641025641,0.8474025974025974,0.8602825745682888,0.8380952380952381,0.8443017656500803,0.8273615635179153,0.8361293058166076,0.017132494687438084,1
0.010398030281066895,0.0016466095366904807,0.4235745668411255,0.03880505875233071,manhattan,4,uniform,"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'}",0.7544554455445545,0.7227722772277227,0.7287128712871287,0.7445544554455445,0.7207920792079208,0.7306930693069307,0.7504950495049505,0.7267326732673267,0.7405940594059406,0.7267326732673267,0.7346534653465346,0.011340848366951576,10,0.7753623188405797,0.7569444444444444,0.7549194991055456,0.7764298093587522,0.755632582322357,0.7588652482269503,0.7857142857142857,0.7604166666666666,0.7721739130434783,0.7553191489361702,0.765177791665923,0.01060597352719483,15
0.01071169376373291,0.0030518692719885003,0.4480051279067993,0.07253754831582038,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.7861386138613862,0.7801980198019802,0.7702970297029703,0.8217821782178217,0.7544554455445545,0.7762376237623763,0.7960396039603961,0.7841584158415842,0.7980198019801981,0.7584158415841584,0.7825742574257426,0.018823342001292896,6,0.8205980066445183,0.8240887480190174,0.8110749185667753,0.8580441640378549,0.802547770700637,0.8197767145135566,0.8377952755905512,0.8283464566929134,0.8354838709677419,0.8081761006289309,0.8245932026362496,0.015503664266042069,5
0.009735846519470214,0.001741037811764778,0.4173265933990479,0.030760137531181158,manhattan,5,uniform,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.7603960396039604,0.7485148514851485,0.7148514851485148,0.7762376237623763,0.7227722772277227,0.7247524752475247,0.7524752475247525,0.7425742574257426,0.7603960396039604,0.7227722772277227,0.7425742574257426,0.019422098748893845,8,0.800658978583196,0.7993680884676145,0.7692307692307693,0.8242612752721618,0.7791798107255521,0.7817896389324961,0.8043818466353677,0.796875,0.8064,0.779874213836478,0.7942019621683636,0.015620778415998267,8
